Altium Designer Pick and Place Locations
D:\Altium Design Projects\STM32_BLE_Board\Project Outputs for STM32_BLE_Board\Pick Place\Pick Place for STM32WB55.txt

========================================================================================================================
File Design Information:

Date:       22/03/25
Time:       23:24
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                       Layer    Footprint                         Center-X(mil) Center-Y(mil) Rotation Description                                                                         
R3         10K                           TopLayer RES_0402                          470.039       232.937       180      "Resistor SMD 0402"                                                                 
U2         SHT40-AD1B-R2                 TopLayer FP-SHT40-AD1B-R2-MFG              505.472       140.378       270      "SENSOR HUMIDITY 100 RH SMD"                                                        
C6         C0402C104K8RAC                TopLayer FP-C0402-BB-MFG                   505.472       52.378        0        "C0402 0.10 µF X7R 10.00% 10 V"                                                     
J3         S4B-ZR-SM4A-TF(LF)(SN)        TopLayer FP-S4B-ZR-SM4A-TF_LF_SN-MFG       1671.000      164.464       180      "CONN HEADER SMD R/A 4POS 1.5MM"                                                    
R7         5K1                           TopLayer RES_0402                          371.000       894.212       0        "Resistor SMD 0402"                                                                 
R4         10K                           TopLayer RES_0402                          540.905       259.937       0        "Resistor SMD 0402"                                                                 
C2         C0402C104K8RAC                TopLayer FP-C0402-BB-MFG                   1521.583      813.583       270      "C0402 0.10 µF X7R 10.00% 10 V"                                                     
C10        C0402C104K8RAC                TopLayer FP-C0402-BB-MFG                   623.940       641.000       0        "C0402 0.10 µF X7R 10.00% 10 V"                                                     
FB1        BLM18EG101TN1D                TopLayer FP-BLM18-0_15-t0_5-MFG            530.039       667.575       270      "Chip Ferrite Bead, 0603, 100O @ 100MHz, 25%, 0.045O, 2A"                           
C21        C0402C104K8RAC                TopLayer FP-C0402-BB-MFG                   1050.748      758.000       180      "C0402 0.10 µF X7R 10.00% 10 V"                                                     
C8         C0402C104K8RAC                TopLayer FP-C0402-BB-MFG                   475.000       709.898       90       "C0402 0.10 µF X7R 10.00% 10 V"                                                     
C11        CL10A475KP8NNND               TopLayer FP-CL10-IPC_C                     1181.733      1045.000      180      "Cap Ceramic 4.7uF 10V X5R ±10% Pad SMD 0603 +85°C T/R"                             
J2         S4B-ZR-SM4A-TF(LF)(SN)        TopLayer FP-S4B-ZR-SM4A-TF_LF_SN-MFG       1281.205      164.464       180      "CONN HEADER SMD R/A 4POS 1.5MM"                                                    
J1         S4B-ZR-SM4A-TF(LF)(SN)        TopLayer FP-S4B-ZR-SM4A-TF_LF_SN-MFG       894.850       164.464       180      "CONN HEADER SMD R/A 4POS 1.5MM"                                                    
C15        C0402C104K8RAC                TopLayer FP-C0402-BB-MFG                   1497.000      749.528       0        "C0402 0.10 µF X7R 10.00% 10 V"                                                     
C14        C0402C104K8RAC                TopLayer FP-C0402-BB-MFG                   1095.000      581.093       180      "C0402 0.10 µF X7R 10.00% 10 V"                                                     
C13        C0402C104K8RAC                TopLayer FP-C0402-BB-MFG                   1095.000      616.732       180      "C0402 0.10 µF X7R 10.00% 10 V"                                                     
X2         NX2016SA-32MHZ-EXS00A-CS10820 TopLayer OSC_NX2016SA-24MHZ-EXS00A-CS10820 1506.669      937.575       0        "24 MHz - Crystal 6pF 80 Ohms 4-SMD, No Lead"                                       
X1         NX2012SA-32.768K-STD-MUB-1    TopLayer XTAL_NX2012SA-32.768K-STD-MUB-1   1180.000      510.000       180      "32.768 kHz Â±20ppm Crystal 12.5pF 80 kOhms 2-SMD, No Lead"                         
U4         MIC5504-3.3YM5-TR             TopLayer FP-SOT23-5LD-PL-1-MFG             537.598       536.181       270      "IC REG LINEAR 3.3V 300MA SOT23-5"                                                  
SW1        DTSM-3                        TopLayer DTSM-3                            88.472        339.000       270      "Tactile Switch SMD SPST"                                                           
R9         5k1                           TopLayer RES_0402                          238.559       384.000       0        "Resistor SMD 0402"                                                                 
